Date;Open;High;Low;Close;Adj close;Volume
May 08, 2024;5168.98;5191.95;5165.86;5187.67;5187.67;3842100000
May 07, 2024;5187.20;5200.23;5178.96;5187.70;5187.70;3987890000
May 06, 2024;5142.42;5181.00;5142.42;5180.74;5180.74;3683250000
May 03, 2024;5122.78;5139.12;5101.22;5127.79;5127.79;3924990000
May 02, 2024;5049.32;5073.21;5011.05;5064.20;5064.20;4381660000
May 01, 2024;5029.03;5096.12;5013.45;5018.39;5018.39;4544170000
Apr 30, 2024;5103.78;5110.83;5035.31;5035.69;5035.69;4082470000
Apr 29, 2024;5114.13;5123.49;5088.65;5116.17;5116.17;3447450000
Apr 26, 2024;5084.65;5114.62;5073.14;5099.96;5099.96;3604140000
Apr 25, 2024;5019.88;5057.75;4990.58;5048.42;5048.42;3958050000
Apr 24, 2024;5084.86;5089.48;5047.02;5071.63;5071.63;3656740000
Apr 23, 2024;5028.85;5076.12;5027.96;5070.55;5070.55;3751400000
Apr 22, 2024;4987.33;5038.84;4969.40;5010.60;5010.60;3820250000
Apr 19, 2024;5005.44;5019.02;4953.56;4967.23;4967.23;3878750000
Apr 18, 2024;5031.52;5056.66;5001.89;5011.12;5011.12;3619760000
Apr 17, 2024;5068.97;5077.96;5007.25;5022.21;5022.21;3596130000
Apr 16, 2024;5064.59;5079.84;5039.83;5051.41;5051.41;4006200000
Apr 15, 2024;5149.67;5168.43;5052.47;5061.82;5061.82;3950210000
Apr 12, 2024;5171.51;5175.03;5107.94;5123.41;5123.41;3963220000
Apr 11, 2024;5172.95;5211.78;5138.77;5199.06;5199.06;3509380000
Apr 10, 2024;5167.88;5178.43;5138.70;5160.64;5160.64;3845930000
Apr 09, 2024;5217.03;5224.81;5160.78;5209.91;5209.91;3400680000
Apr 08, 2024;5211.37;5219.57;5197.35;5202.39;5202.39;3278180000
Apr 05, 2024;5158.95;5222.18;5157.21;5204.34;5204.34;3386780000
Apr 04, 2024;5244.05;5256.59;5146.06;5147.21;5147.21;4075680000
Apr 03, 2024;5194.37;5228.75;5194.37;5211.49;5211.49;3703250000
Apr 02, 2024;5204.29;5208.34;5184.05;5205.81;5205.81;3886590000
Apr 01, 2024;5257.97;5263.95;5229.20;5243.77;5243.77;3325930000
Mar 28, 2024;5248.03;5264.85;5245.82;5254.35;5254.35;3998270000
Mar 27, 2024;5226.31;5249.26;5213.92;5248.49;5248.49;3850500000
Mar 26, 2024;5228.85;5235.16;5203.42;5203.58;5203.58;3871790000
Mar 25, 2024;5219.52;5229.09;5216.09;5218.19;5218.19;3331360000
Mar 22, 2024;5242.48;5246.09;5229.87;5234.18;5234.18;3374700000
Mar 21, 2024;5253.43;5261.10;5240.66;5241.53;5241.53;4207730000
Mar 20, 2024;5181.69;5226.19;5171.55;5224.62;5224.62;4064850000
Mar 19, 2024;5139.09;5180.31;5131.59;5178.51;5178.51;4031760000
Mar 18, 2024;5154.77;5175.60;5145.47;5149.42;5149.42;4036220000
Mar 15, 2024;5123.31;5136.86;5104.35;5117.09;5117.09;7753670000
Mar 14, 2024;5175.14;5176.85;5123.30;5150.48;5150.48;4687970000
Mar 13, 2024;5173.49;5179.14;5151.88;5165.31;5165.31;4282890000
Mar 12, 2024;5134.30;5179.87;5114.48;5175.27;5175.27;4080510000
Mar 11, 2024;5111.96;5124.66;5091.14;5117.94;5117.94;3896430000
